대분류,소분류,할당,설명,수행
회원가입,회원가입 View,프론트엔드,,Yes
,위치 조회 서비스,프론트엔드,"Google Maps 기반으로 위도, 경도, 상세 주소 제공",Yes
,ID 중복처리 API,"백엔드, 프론트엔드",,Yes
,회원가입 API,"백엔드, 프론트엔드",BCryptEncoder 사용,Yes
,회원가입 토큰 발행,백엔드,JWT 사용,Yes
,,,,No
로그인,로그인 View,프론트엔드,,Yes
,로그인 API,"백엔드, 프론트엔드",BCryptEncoder 사용,Yes
,로그인 토큰 발행,백엔드,JWT 사용,Yes
,,,,No
메인,"메인 페이지 View (조심해요, 추천해요)",프론트엔드,,Yes
,현 위치 기반 2km 이내 게시글 조회,백엔드,SQL 쿼리문 기반 위치 계산,Yes
,카테고리별 게시글 필터링 및 최신순 정렬,백엔드,,Yes
,게시글 제목 키워드 검색 및 최신순 정렬,백엔드,,Yes
,메인 페이지 게시글 목록 조회 API,"백엔드, 프론트엔드",3개의 기능을 합쳐 API 하나로 구현,Yes
,,,,No
게시글 작성,게시글 작성 View,프론트엔드,,Yes
,위치 조회 서비스,프론트엔드,"Google Maps 기반으로 위도, 경도, 상세 주소 제공",Yes
,게시글 작성 API,"백엔드, 프론트엔드",,Yes
,,,,No
게시글 상세,게시글 상세 View,프론트엔드,,Yes
,게시글 댓글 작성,"백엔드, 프론트엔드",,Yes
,게시글 대댓글 작성,"백엔드, 프론트엔드",순환관계 테이블 구성,Yes
,게시글 좋아요 / 좋아요 취소,"백엔드, 프론트엔드",,Yes
,댓글 작성 View,프론트엔드,,Yes
,,,,No
API 서버,무중단 CI/CD 서버 구축,백엔드,Github Actions + EC2 + S3 + CodeDeploy / nginx 사용,Yes
,JWT 필터 구현,백엔드,Spring Security 사용,No
,DB 서버 구축,백엔드,RDS 사용,No
,,,,No
